FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING	RESTING_MgO2/hr	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	FAS	NAS	MgO2/hr_Net	Swim performance	Notes		
LCKM163_30	Cockermouth Island	Leading	30	0.02371	2022-08-01	1	asus	2	PM	16:10:00	139.115	3.29841665	2022-08-01	1	asus	2	PM	16:10	455.324	10.79573204	3.273004349	316.209	7.49731539	good			
LCKM165_30	Cockermouth Island	Leading	30	0.03170	2022-08-01	1	dell	1	AM	10:14:00	179.26	5.682542	2022-08-01	1	dell	1	AM	10:14	391.063	12.3966971	2.181540779	211.803	6.7141551	good			
LCKM166_30	Cockermouth Island	Leading	30	0.02788	2022-07-31	3	asus	2	AM	11:27:00	213.674	5.95723112	2022-07-31	3	asus	2	AM	11:27	333.096	9.28671648	1.558898135	119.422	3.32948536	good			
LCKM174_30	Cockermouth Island	Leading	30	0.02880	2022-08-01	4	dell	1	AM	11:37:00	227.137	6.5415456	2022-08-01	4	dell	1	AM	11:37	458.809	13.2136992	2.019965924	231.672	6.6721536	good			
LCKM176_30	Cockermouth Island	Leading	30	0.01345	2022-08-02	1	asus	2	AM	9:22:00	228.217	3.06951865	2022-08-02	1	asus	2	AM	9:22	439.362	5.9094189	1.925194004	211.145	2.83990025	good	third slope used		
LCKM180_30	Cockermouth Island	Leading	30	0.02418	2022-08-01	2	asus	2	AM	11:00:00	212.841	5.14649538	2022-08-01	2	asus	2	AM	11:00	433.34	10.4781612	2.03597991	220.499	5.33166582	good			
LKES142_30	Keswick Island	Leading	30	0.04016	2022-07-30	1	dell	1	PM	14:18:00	167.118	6.71145888	2022-07-30	1	dell	1	PM	14:18	305.496	12.26871936	1.828025706	138.378	5.55726048	good			
LKES143_30	Keswick Island	Leading	30	0.04005	2022-08-01	3	dell	1	AM	11:09:00	208.167	8.33708835	2022-08-01	3	dell	1	AM	11:09	317.075	12.69885375	1.523176104	108.908	4.3617654	good			
LKES145_30	Keswick Island	Leading	30	0.04235	2022-07-31	1	asus	2	AM	10:32:00	143.701	6.08573735	2022-07-31	1	asus	2	AM	10:32	366.74	15.531439	2.552104717	223.039	9.44570165	good			
LKES172_30	Keswick Island	Leading	30	0.01829	2022-07-31	4	asus	2	AM	11:56:00	224.842	4.11236018	2022-07-31	4	asus	2	AM	11:56	524.091	9.58562439	2.330930164	299.249	5.47326421	good			
CSUD006_30	Sudbury Reef	Core	30	0.03792	2022-08-02	2	dell	1	AM	9:31:00	184.552	6.99821184	2022-08-02	2	dell	1	AM	9:31	404.311	15.33147312	2.190770081	219.759	8.33326128	poor	second slope used		
CSUD008_30	Sudbury Reef	Core	30	0.05100	2022-08-02	4	asus	2	AM	10:46:00	178.773	9.117423	2022-08-02	4	asus	2	AM	10:46	341.198	17.401098	1.908554424	162.425	8.283675	poor			
CSUD010_30	Sudbury Reef	Core	30	0.03224	2022-08-02	3	dell	1	AM	10:00:00	123.643	3.98625032	2022-08-02	3	dell	1	AM	10:00	440.573	14.20407352	3.563266825	316.93	10.2178232	good			
CSUD014_30	Sudbury Reef	Core	30	0.04880	2022-07-31	1	dell	1	PM	15:47:00	123.836	6.0431968	2022-07-31	1	dell	1	PM	15:47	349.58	17.059504	2.822927097	225.744	11.0163072	good			
CSUD018_30	Sudbury Reef	Core	30	0.03060	2022-07-31	3	dell	1	PM	NA	128.638	3.9363228	2022-08-02	3	dell	1	PM	15:54	445.94	13.645764	3.46662728	317.302	9.7094412	good			
CSUD026_30	Sudbury Reef	Core	30	0.03081	2022-07-31	3	dell	1	AM	11:09:00	249.053	7.67332293	2022-07-31	3	dell	1	AM	11:09	352.078	10.84752318	1.41366697	103.025	3.17420025	good			
CSUD074_30	Sudbury Reef	Core	30	0.04710	2022-07-30	2	dell	1	PM	14:46:00	200.6	9.44826	2022-07-30	2	dell	1	PM	14:46	472.721	22.2651591	2.356535394	272.121	12.8168991	good			
CSUD079_30	Sudbury Reef	Core	30	0.04540	2022-08-01	1	asus	2	AM	10:32:00	187.651	8.5193554	2022-08-01	1	asus	2	AM	10:32	256.4946	11.64485484	1.366870414	68.8436	3.12549944	good			
CSUD085_30	Sudbury Reef	Core	30	0.03672	2022-08-02	4	dell	1	AM	10:29:00	146.949	5.39596728	2022-08-02	4	dell	1	AM	10:29	386.907	14.20722504	2.632933875	239.958	8.81125776	good			
CTON060_30	Tongue Reef	Core	30	0.04907	2022-07-31	2	asus	2	PM	16:36:00	138.077	6.77543839	2022-07-31	2	asus	2	PM	16:36	350.435	17.19584545	2.537967945	212.358	10.42040706	good			
CTON061_30	Tongue Reef	Core	30	0.02477	2022-07-31	4	asus	2	PM	17:45:00	218.2014	5.404848678	2022-07-31	4	asus	2	PM	17:45	432.275	10.70745175	1.981082615	214.0736	5.302603072	poor			
CTON062_30	Tongue Reef	Core	30	0.04600	2022-08-01	3	dell	1	PM	16:49:00	135.048	6.212208	2022-08-01	3	dell	1	PM	16:49	379.707	17.466522	2.811644749	244.659	11.254314	good			
CTON065_30	Tongue Reef	Core	30	0.05278	2022-08-01	3	asus	2	AM	11:26:00	188.315	9.9392657	2022-08-01	3	asus	2	AM	11:26	366.085	19.3219663	1.944003399	177.77	9.3827006	okay			
