FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	DRY_WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING_ENDTIME	RESTING_RUNTIME	RESTING	RESTING_MgO2/hr	RESTING_RESPR	RESTING_MgO2/hr_RESPR	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	MAX_RESPR	MAX_MgO2/hr_RESPR	FAS	NAS	MgO2/hr_Net	steepest_slope	Swim performance	Notes
CSUD018_27	Sudbury Reef	Core	27	0.0306	0.02479	14/06/2022	2	asus	2	PM	15:24:00	19:44:25	4:20:25	118.91	3.638646	171.33	4.25	27/06/2022	1	asus	2	AM	12:04	279.0729	6.918217191	367.4694	9.109566	2.143427294	196.1394	4.859566	1	good	
CSUD018_28.7	Sudbury Reef	Core	28.5	0.0306	0.02479	18/07/2022	3	dell	1	PM	16:15:00	20:07:14	3:52:14	117.964	3.6096984	143.43	3.56	18/07/2022	3	dell	1	PM	16:15	393.961	9.76629319	524.6155	13.00522	3.653151685	381.1855	9.44522	1	good	
CSUD018_30	Sudbury Reef	Core	30	0.0306	0.02479	31/07/2022	3	dell	1	PM	17:02:05	21:41:30	4:39:25	128.638	3.9363228	151.76	3.75	2/08/2022	3	dell	1	PM	15:54	445.94	11.0548526	844.8257533	21.00040225	5.600107267	693.0657533	17.25040225	1	good	
CSUD018_31.5	Sudbury Reef	Core	31.5	0.0306	0.02479	17/08/2022	1	dell	1	AM	10:05:19	15:26:20	5:21:01	148.003	4.5288918	181.8	4.51	17/08/2022	1	dell	1	AM	10:05:19	362.724	8.99192796	477.0095	11.82507	2.621966741	295.2095	7.31507	1	poor	constant 'hand encouragement' needed
CSUD026_27	Sudbury Reef	Core	27	0.03081	0.02594	15/06/2022	3	dell	1	AM	10:01:00	14:20:44	4:19:44	202.458	6.23773098	243.84	6.33	1/07/2022	2	asus	2	PM	14:17	456.789	11.84910666	625.6978	16.2306	2.564075829	381.8578	9.9006	1	good	"updated- USB briefly turned off, was plugged back in immediately, second 60 sec interval had the steepest slope; original max (27/06/2022) was 234.303; NAS less than 1"
CSUD026_28.5	Sudbury Reef	Core	28.5	0.03081	0.02594	16/07/2022	2	asus	2	PM	16:37:00	20:59:05	4:22:05	147.132	4.53313692	184.95	4.8	16/07/2022	2	asus	2	PM	16:37	421.089	10.92304866	632.9253	16.41808	3.420433333	447.9753	11.61808	1	good	
CSUD026_30	Sudbury Reef	Core	30	0.03081	0.02594	31/07/2022	3	dell	1	AM	11:09:00	15:15:12	4:06:12	249.053	7.67332293	238.07	7.33	31/07/2022	3	dell	1	AM	11:09	352.078	9.13290332	489.5633149	12.73394135	1.737236201	251.4933149	5.40394135	3	good	
CSUD026_31.5	Sudbury Reef	Core	31.5	0.03081	0.02594	16/08/2022	4	asus	2	AM	11:57:30	15:48:09	3:50:39	242.989	7.48649109	285.12	7.4	16/08/2022	4	asus	2	AM	11:57:30	536.812	13.92490328	675.5469	17.52369	2.368066216	390.4269	10.12369	1	good	
CSUD074_27	Sudbury Reef	Core	27	0.0471	0.03676	13/06/2022	1	dell	1	AM	10:43:00	15:20:31	4:37:31	141.416	6.6606936	181.33	6.67	26/06/2022	1	dell	1	PM	17:18	389.2271	14.3079882	585.9447	21.53933	3.229284858	404.6147	14.86933	1	good	probes 1 and 4 were mixed up at start but were quikcly adjusted and run restarted
CSUD074_28.5	Sudbury Reef	Core	28.5	0.0471	0.03676	16/07/2022	4	dell	1	AM	11:11:00	14:40:52	3:29:52	209.166	9.8517186	261.25	9.6	16/07/2022	4	dell	1	AM	11:11	417.895	15.3618202	508.6348	18.69742	1.947647917	247.3848	9.09742	1	good	
CSUD074_30	Sudbury Reef	Core	30	0.0471	0.03676	30/07/2022	2	dell	1	PM	14:46:00	19:36:26	4:50:26	200.6	9.44826	253.93	9.33	30/07/2022	2	dell	1	PM	14:46	472.721	17.37722396	631.7810163	23.287675	2.495999464	377.8510163	13.957675	1	good	
